7,32019309356706
57,8565338271686
0,728660414554573
2,37388891617163
-18,2996287706655
4,68867354873425
0,285152361071924
-16,7691612410974
2,11429303191823
14,8143203621530
-52,8086729757034
0,0301846245691113
1,54875351138480
-11,5261302411833
3,53257412691161
24,4422421590247
-30,2292912749005
7,29802672361824
17,7077848512671
37,1279958375567
0,457979662177296
7,24307895811112
-69,9917170565526
13,9535229800196
12,6426328193745
-19,6641346859277
1,26087831635033
19,8073058913960
-98,7640522333920
9,95713116747966
21,3567924784567
50,4283360233411
1,61745448702188
6,92247571183340
-9,57445155237657
6,93684435198889
22,2630178398514
-18,1197923014647
8,43734488045456
12,9740942660914
-33,1177872751288
13,3418991674047
18,7911193843527
-20,2334550261343
1,24844473750113
13,7315132943791
-21,2123529794474
9,18906145791940
2,79477885812459
95,1792714398666
4,16238860870477
22,6207787643499
-7,98592567178380
14,1658861102351
1,77426580102198
-53,8683427142410
3,03892914322217
18,1595247155822
-34,1323982000940
0,892462310315445
19,6015021419538
26,0925827322138
8,13865171874779
18,4674009106682
26,0844993113883
5,13045813354700
17,7960401493841
-68,5971188809232
14,0979128686454
24,9715947788776
-97,9693627976779
14,7459308115199
17,5203522760754
-46,6788343279126
6,27526268157621
18,4577784358471
2,42169261988716
4,42837868446025
2,61920105096552
50,8249653367960
4,57659466977709
16,3193618904019
-36,9735292228603
2,61333965360346
23,0222027622694
-16,7024938334622
8,71953971483339
17,2193050151533
-49,9511443767000
11,6966766739368
4,19957171488224
48,1522323752748
11,7843827668966
19,8633211712834
-33,1071485964995
13,0069474716885
19,2587125757456
35,4944578592510
2,91385586086793
8,73264606101939
-51,5390099312144
5,88007438223080
9,04657673231584
39,2800572209299
14,4216197647884
9,75433965207516
-52,9270563028999
14,6825126977534
20,6462273008086
21,8054930658759
11,6737492285165
14,7450472270389
-0,732231272876605
4,41991811081645
3,63514035054284
-41,4753969377541
9,76600548457101
2,05232739599852
-51,2850757449589
14,9920887487383
2,69946856092932
-77,0874376485196
12,2722926224616
24,0536097567065
-8,40299067699144
4,85940949392538
8,09369097693276
-61,9788573143866
8,63558760865590
13,8742078708089
-89,8318026523490
8,77434845177850
21,7480140206894
-77,5766046660224
10,4631640565290
10,6474009515361
76,2802639796783
4,67619782075794
14,7140473950625
96,9106690540172
6,05166033171861
16,9593877077282
79,8211987214651
12,6939414961456
0,863477638150311
20,0502136223532
7,86245469977841
2,37238773652470
77,5603147664984
14,9936070058912
19,0558073970505
81,0696189073204
11,9750020250398
16,2716034411271
52,5349802867458
9,27714955582060
4,04843331650967
46,8857927863429
3,18622542591207
23,8438880824823
5,35149461091187
9,31070012137583
8,63588905386967
41,2844517732437
8,63066771301890
24,2648507606472
-38,8824732626863
3,17118300406321
1,46244378115455
29,9033705825322
12,4897795075958
4,15237131461656
-29,5620165522985
10,7267658450952
0,622218394677518
30,0526487030950
1,05792921322577
17,1361967446031
-59,7135741223039
1,06623375873274
12,9546720953426
18,2407147520238
9,01480950647381
20,2154178330722
-10,4676339891673
9,52294416313809
24,6331567917768
-36,7900044270121
11,5076783241569
19,3718889188910
36,0531416633758
7,42490954157694
18,2568982609159
-67,0091033026049
14,9518114500805
1,14699801348277
40,9610833044167
10,0373200086171
24,1440069875683
80,8445954075291
8,89514024761612
14,8016387173049
-4,35604113532406
11,1738681154129
